1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
2020-05-02 00:00:00,2020-05-03 00:00:01,2020-05-04 00:00:02,2020-05-05 00:00:03,2020-05-06 00:00:04,2020-05-07 00:00:05,2020-05-08 00:00:06,2020-05-09 00:00:07,2020-05-10 00:00:08,2020-05-11 00:00:09,2020-05-12 00:00:10,2020-05-13 00:00:11,2020-05-14 00:00:12,2020-05-15 00:00:13,2020-05-16 00:00:14,2020-05-17 00:00:15,2020-05-18 00:00:16,2020-05-19 00:00:17,2020-05-20 00:00:18,2020-05-21 00:00:19,2020-05-22 00:00:20,2020-05-23 00:00:21,2020-05-24 00:00:22,2020-05-25 00:00:23,2020-05-26 00:00:24,2020-05-27 00:00:25,2020-05-28 00:00:26,2020-05-29 00:00:27,2020-05-30 00:00:28,2020-05-31 00:00:29,2020-06-01 00:00:30,2020-06-02 00:00:31,2020-06-03 00:00:32,2020-06-04 00:00:33,2020-06-05 00:00:34,2020-06-06 00:00:35,2020-06-07 00:00:36,2020-06-08 00:00:37,2020-06-09 00:00:38,2020-06-10 00:00:39,2020-06-11 00:00:40,2020-06-12 00:00:41,2020-06-13 00:00:42
1,2,0,1,4,14,23,21,8,2,0,1,7,1,4,1,0,0,4,0,1,1,5,1,0,30,124,195,322,327,426,480,750,352,318,319,1282,2114,2082,1342,1309,1107,1184
